dataset,model,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
cancer,lstm,1,2,1,51,2.004329159907546,2.239009407752878,2.0505418889428055,1438.308273077011
cancer,lstm,1,2,2,8,2.051898790602431,1.8340662671140877,2.6040032460708304,853.2552139759064
cancer,lstm,1,4,1,148,1.7244267838385592,1.5803941599547817,1.6124238006769696,2523.5711991786957
cancer,lstm,1,4,2,128,1.4699604887987874,1.351560257414513,1.9149240210650293,2505.740353345871
cancer,lstm,1,8,1,34,1.4693993116755364,1.7403596519942799,1.5828236085261256,930.334935426712
cancer,lstm,1,8,2,93,1.503926584730257,1.180300393871418,1.892111546737726,2060.2254843711853
cancer,lstm,1,16,1,59,1.3819652759265657,1.7170776855831698,1.5193883669806463,1510.6968276500702
cancer,lstm,1,16,2,76,1.5051540792401559,1.1629878980309578,1.7764963862974112,1558.2010731697083
cancer,lstm,2,2,1,74,1.785138835294878,1.8352073231874684,1.7708462703598713,2297.9688770771027
cancer,lstm,2,2,2,17,2.0479405776343564,1.8420454776251172,2.6488072476180644,1066.0849483013153
cancer,lstm,2,4,1,190,1.5268577809917423,1.3422961043031674,1.6513099343846855,3611.34552025795
cancer,lstm,2,4,2,58,1.8334184263070876,1.3410014781472555,2.1608075497369787,1631.9235830307007
cancer,lstm,2,8,1,53,1.7834136912967855,1.8702564855980692,1.8988933790140823,1595.0512051582336
cancer,lstm,2,8,2,113,1.6068969983571812,1.2062329548181046,1.714308839347181,2523.5203161239624
cancer,lstm,2,16,1,70,1.512802216026819,1.5865377847060382,1.7257958466337078,1841.223009109497
cancer,lstm,2,16,2,54,1.4838467024566633,1.2158666759875256,1.66989128190272,1612.0136210918427
